$46.80,$35.10,$27.30,$19.50,$16.58,$14.63,$13.65,$11.70,$9.75,$8.78,$7.80,$7.02,$6.83,$6.24,$5.85,$5.07,$3.90,$3.51,$2.73,$2.34,$1.95,5
$52.65,$39.00,$31.20,$25.35,$21.45,$19.50,$17.55,$14.63,$11.70,$9.75,$8.39,$7.80,$7.61,$7.41,$6.63,$5.85,$4.88,$3.90,$3.51,$3.12,$2.73,10
$58.50,$46.80,$39.00,$31.20,$23.40,$22.43,$21.45,$18.72,$13.65,$12.68,$10.73,$9.36,$8.78,$8.19,$7.41,$6.63,$5.46,$4.68,$3.90,$3.51,$3.12,15
$66.30,$52.65,$42.90,$34.13,$26.33,$24.38,$23.40,$21.45,$19.50,$17.16,$14.63,$12.68,$11.70,$10.73,$8.78,$7.80,$6.63,$5.85,$5.46,$4.88,$3.90,20
$70.20,$56.55,$46.80,$39.00,$28.28,$26.33,$25.35,$24.41,$23.40,$21.45,$18.53,$16.58,$15.60,$14.63,$13.65,$12.68,$10.73,$9.75,$7.80,$6.83,$5.85,25
$78.00,$63.38,$54.60,$46.80,$35.10,$29.25,$28.28,$27.30,$26.33,$24.38,$21.45,$19.50,$19.50,$16.58,$17.55,$16.58,$12.68,$10.73,$8.78,$7.80,$6.83,30
