$34.32,$25.74,$20.02,$14.30,$12.16,$10.73,$10.01,$8.58,$7.15,$6.44,$5.72,$5.15,$5.01,$4.58,$4.29,$3.72,$2.86,$2.57,$2.00,$1.72,$1.43,5
$38.61,$28.60,$22.88,$18.59,$15.73,$14.30,$12.87,$10.73,$8.58,$7.15,$6.15,$5.72,$5.58,$5.43,$4.86,$4.29,$3.58,$2.86,$2.57,$2.29,$2.00,10
$42.90,$34.32,$28.60,$22.88,$17.16,$16.45,$15.73,$13.73,$10.01,$9.30,$7.87,$6.86,$6.44,$6.01,$5.43,$4.86,$4.00,$3.43,$2.86,$2.57,$2.29,15
$48.62,$38.61,$31.46,$25.03,$19.31,$17.88,$17.16,$15.73,$14.30,$12.58,$10.73,$9.30,$8.58,$7.87,$6.44,$5.72,$4.86,$4.29,$4.00,$3.58,$2.86,20
$51.48,$41.47,$34.32,$28.60,$20.74,$19.31,$18.59,$17.90,$17.16,$15.73,$13.59,$12.16,$11.44,$10.73,$10.01,$9.30,$7.87,$7.15,$5.72,$5.01,$4.29,25
$57.20,$46.48,$40.04,$34.32,$25.74,$21.45,$20.74,$20.02,$19.31,$17.88,$15.73,$14.30,$14.30,$12.16,$12.87,$12.16,$9.30,$7.87,$6.44,$5.72,$5.01,30
