$24.96,$18.72,$14.56,$10.40,$8.84,$7.80,$7.28,$6.24,$5.20,$4.68,$4.16,$3.74,$3.64,$3.33,$3.12,$2.70,$2.08,$1.87,$1.46,$1.25,$1.04,5
$28.08,$20.80,$16.64,$13.52,$11.44,$10.40,$9.36,$7.80,$6.24,$5.20,$4.47,$4.16,$4.06,$3.95,$3.54,$3.12,$2.60,$2.08,$1.87,$1.66,$1.46,10
$31.20,$24.96,$20.80,$16.64,$12.48,$11.96,$11.44,$9.98,$7.28,$6.76,$5.72,$4.99,$4.68,$4.37,$3.95,$3.54,$2.91,$2.50,$2.08,$1.87,$1.66,15
$35.36,$28.08,$22.88,$18.20,$14.04,$13.00,$12.48,$11.44,$10.40,$9.15,$7.80,$6.76,$6.24,$5.72,$4.68,$4.16,$3.54,$3.12,$2.91,$2.60,$2.08,20
$37.44,$30.16,$24.96,$20.80,$15.08,$14.04,$13.52,$13.02,$12.48,$11.44,$9.88,$8.84,$8.32,$7.80,$7.28,$6.76,$5.72,$5.20,$4.16,$3.64,$3.12,25
$41.60,$33.80,$29.12,$24.96,$18.72,$15.60,$15.08,$14.56,$14.04,$13.00,$11.44,$10.40,$10.40,$8.84,$9.36,$8.84,$6.76,$5.72,$4.68,$4.16,$3.64,30
